county,precinct,office,district,candidate,party,votes
Kings,"=""6/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,31
Kings,"=""6/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Kings,"=""6/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,"=""6/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Kings,"=""6/44""",President,NYC,Scattered,,3
Kings,"=""7/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""7/44""",President,NYC,Absentee / Military,,24
Kings,"=""7/44""",President,NYC,Federal,,2
Kings,"=""7/44""",President,NYC,Special Presidential,,0
Kings,"=""7/44""",President,NYC,Affidavit,,11
Kings,"=""7/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,355
Kings,"=""7/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,56
Kings,"=""7/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,11
Kings,"=""7/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Kings,"=""7/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,26
Kings,"=""7/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,"=""7/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,7
Kings,"=""7/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""7/44""",President,NYC,Scattered,,2
Kings,"=""8/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""8/44""",President,NYC,Absentee / Military,,29
Kings,"=""8/44""",President,NYC,Federal,,8
Kings,"=""8/44""",President,NYC,Special Presidential,,0
Kings,"=""8/44""",President,NYC,Affidavit,,14
Kings,"=""8/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,543
Kings,"=""8/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,132
Kings,"=""8/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,14
Kings,"=""8/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,16
Kings,"=""8/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,61
Kings,"=""8/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,13
