county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,1141,6134,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,1300,6135,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2344
Dallas,1301,6136,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2510
Dallas,1302,6137,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2247
Dallas,1303,6138,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,160
Dallas,1304,6139,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1478
Dallas,1305,6140,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1473
Dallas,1307,6141,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,214
Dallas,1308,6142,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1970
Dallas,1309,6143,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,381
Dallas,1310,6144,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2725
Dallas,1311,6145,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2173
Dallas,1312,6146,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1004
Dallas,1313,6147,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,319
Dallas,1314,6148,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2334
Dallas,1315,6149,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,19
Dallas,1316,6150,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,814
Dallas,1317,6151,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,1500,6152,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2081
Dallas,1501,6153,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2087
Dallas,1502,6154,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3185
Dallas,1503,6155,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2130
Dallas,1504,6156,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1915
Dallas,1700,6157,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1990
Dallas,1701,6158,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1822
Dallas,1702,6159,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2607
Dallas,1703,6160,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2696
Dallas,1704,6161,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1295
Dallas,1705,6162,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1803
Dallas,1706,6163,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2683
Dallas,1707,6164,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,799
Dallas,1708,6165,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,491
Dallas,1709,6166,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3277
Dallas,1710,6167,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1509
Dallas,1711,6168,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2056
Dallas,1712,6169,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1970
Dallas,1713,6170,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1085
Dallas,1714,6171,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1860
Dallas,1715,6172,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1449
Dallas,1716,6173,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2187
Dallas,1717,6174,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3246
Dallas,1718,6175,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1509
Dallas,1719,6176,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2552
Dallas,1720,6177,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2665
Dallas,1721,6178,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2080
Dallas,1722,6179,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3010
Dallas,1723,6180,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,214
Dallas,1724,6181,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,71
Dallas,1725,6182,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,465
Dallas,1726,6183,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1798
Dallas,1727,6184,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,210
Dallas,1728,6185,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1361
Dallas,1729,6186,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1454
Dallas,1730,6187,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,1731,6188,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,2000,6189,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,12
Dallas,2001,6190,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,18
Dallas,2002,6191,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1165
Dallas,2003,6192,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2631
Dallas,2004,6193,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1960
Dallas,2005,6194,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,962
Dallas,2006,6195,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1467
Dallas,2007,6196,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2845
Dallas,2008,6197,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1438
Dallas,2009,6198,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1877
Dallas,2010,6199,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1340
Dallas,2011,6200,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2003
Dallas,2012,6201,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1611
Dallas,2013,6202,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1218
Dallas,2014,6203,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,515
Dallas,2015,6204,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1055
Dallas,2016,6205,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3267
Dallas,2017,6206,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1424
Dallas,2018,6207,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,793
Dallas,2019,6208,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1656
Dallas,2020,6209,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2426
Dallas,2021,6210,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3527
Dallas,2022,6211,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,711
Dallas,2023,6212,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1190
Dallas,2024,6213,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1282
Dallas,2025,6214,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2602
Dallas,2026,6215,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2690
Dallas,2027,6216,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1617
Dallas,2028,6217,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,2029,6218,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1575
Dallas,2030,6219,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1875
Dallas,2031,6220,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3355
Dallas,2032,6221,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1933
Dallas,2033,6222,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1589
Dallas,2034,6223,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1390
Dallas,2035,6224,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1332
Dallas,2036,6225,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2283
Dallas,2037,6226,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,767
Dallas,2038,6227,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3108
Dallas,2039,6228,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2695
Dallas,2040,6229,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1554
Dallas,2041,6230,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,4046
Dallas,2042,6231,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2964
Dallas,2043,6232,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2040
Dallas,2044,6233,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1059
Dallas,2045,6234,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1772
