county,precinct,office,district,candidate,party,votes
Queens,"=""20/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""20/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""21/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""21/23""",President,NYC,Absentee / Military,,22
Queens,"=""21/23""",President,NYC,Federal,,0
Queens,"=""21/23""",President,NYC,Special Presidential,,0
Queens,"=""21/23""",President,NYC,Affidavit,,10
Queens,"=""21/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,305
Queens,"=""21/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,99
Queens,"=""21/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,10
Queens,"=""21/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Queens,"=""21/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,"=""21/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Queens,"=""21/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""21/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Queens,"=""21/23""",President,NYC,Scattered,,4
Queens,"=""22/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""22/23""",President,NYC,Absentee / Military,,0
Queens,"=""22/23""",President,NYC,Federal,,0
Queens,"=""22/23""",President,NYC,Special Presidential,,0
Queens,"=""22/23""",President,NYC,Affidavit,,0
Queens,"=""22/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,0
Queens,"=""22/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,0
Queens,"=""22/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Queens,"=""22/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Queens,"=""22/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Queens,"=""22/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Queens,"=""22/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""22/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""23/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""23/23""",President,NYC,Absentee / Military,,5
Queens,"=""23/23""",President,NYC,Federal,,0
Queens,"=""23/23""",President,NYC,Special Presidential,,0
