precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Bernalillo488,93,63,6,1,15,3,14,88,267,261,127,156,528
Bernalillo489,94,62,1,3,21,2,8,64,313,305,99,156,618
Bernalillo49,101,92,3,2,9,0,0,19,603,160,33,193,763
Bernalillo490,61,49,6,2,14,4,9,71,213,307,106,110,520
Bernalillo491,40,60,4,1,5,2,6,32,164,141,50,100,305
Bernalillo492,45,55,5,6,7,1,4,37,154,136,60,100,290
Bernalillo493,53,72,2,4,6,1,8,42,215,204,63,125,419
Bernalillo494,46,58,4,1,16,0,15,34,188,156,70,104,344
Bernalillo495,66,85,7,4,11,0,14,42,290,227,78,151,517
Bernalillo496,46,60,8,1,14,3,10,40,164,174,76,106,338
Bernalillo497,66,79,4,4,7,0,12,35,236,179,62,145,415
Bernalillo498,78,84,3,3,9,0,12,37,316,196,64,162,512
Bernalillo499,69,51,0,5,5,0,8,53,245,209,71,120,454
Bernalillo5,95,94,4,1,3,0,7,33,302,183,48,189,485
Bernalillo50,149,159,3,1,12,0,5,59,686,289,80,308,975
Bernalillo500,83,72,2,4,17,6,20,83,291,305,132,155,596
Bernalillo502,78,98,3,4,6,2,3,36,282,198,54,176,480
Bernalillo503,30,67,1,5,3,2,2,19,177,127,32,97,304
Bernalillo504,37,52,2,6,6,1,4,25,175,117,44,89,292
Bernalillo505,41,55,4,3,14,1,3,37,184,159,62,96,343
Bernalillo506,36,59,1,2,6,2,6,36,172,134,53,95,306
Bernalillo507,44,44,3,6,12,0,13,37,172,175,71,88,347
Bernalillo508,36,50,2,4,5,0,3,31,158,144,45,86,302
Bernalillo509,38,42,1,3,2,1,0,26,123,91,33,80,214
Bernalillo51,105,51,3,1,3,1,1,14,364,85,23,156,449
Bernalillo510,78,79,2,2,16,0,5,49,294,258,74,157,552
Bernalillo511,66,62,1,2,14,2,5,61,232,259,85,128,491
Bernalillo512,79,60,4,9,11,3,14,63,310,267,104,139,577
Bernalillo513,90,92,7,4,19,3,23,90,368,352,146,182,720
Bernalillo514,68,78,3,4,14,1,5,49,269,268,76,146,537
Bernalillo515,47,44,3,2,11,2,13,46,195,215,77,91,410
Bernalillo516,67,109,5,5,18,2,18,63,350,296,111,176,646
Bernalillo517,29,48,4,6,10,2,16,55,173,223,93,77,396
Bernalillo518,53,76,6,5,16,3,13,65,279,292,108,129,571
Bernalillo519,26,33,2,3,4,1,2,27,125,137,39,59,262
Bernalillo52,165,185,2,2,13,1,3,54,732,335,75,350,1067
Bernalillo520,111,92,4,5,9,2,25,85,402,372,130,203,774
Bernalillo521,57,86,3,5,13,3,11,68,279,260,103,143,539
Bernalillo522,95,106,4,4,16,6,20,113,416,398,163,201,814
Bernalillo523,76,88,4,5,9,2,18,52,233,223,90,164,456
Bernalillo524,25,37,4,3,5,2,8,46,112,127,68,62,239
Bernalillo525,51,75,1,4,13,1,6,46,282,222,71,126,504
Bernalillo526,71,79,3,3,9,2,16,88,294,312,121,150,606
Bernalillo527,21,23,4,0,9,1,8,36,82,135,58,44,217
Bernalillo528,34,26,3,2,5,0,9,41,105,146,60,60,251
Bernalillo529,91,92,2,7,23,3,11,96,414,374,142,183,788
Bernalillo53,67,55,0,2,6,0,2,12,256,105,22,122,361
Bernalillo530,78,107,11,2,10,2,14,62,363,274,101,185,637
Bernalillo531,48,58,1,2,1,1,1,22,216,140,28,106,356
Bernalillo532,44,76,5,2,12,1,9,36,227,177,65,120,404
Bernalillo533,35,72,0,0,9,2,4,34,178,144,49,107,322
Bernalillo534,65,71,5,4,9,2,2,62,250,239,84,136,489
Bernalillo535,42,48,3,4,6,1,4,28,192,158,46,90,350
Bernalillo536,32,36,0,1,3,0,4,20,140,124,28,68,264
Bernalillo537,117,88,1,6,15,5,17,76,407,276,120,205,683
Bernalillo538,95,64,7,2,8,1,21,70,356,258,109,159,614
Bernalillo539,136,100,7,4,11,2,25,97,448,351,146,236,799
Bernalillo54,125,138,2,3,13,2,9,64,631,346,93,263,977
Bernalillo540,80,66,4,3,16,4,13,68,310,292,108,146,602
Bernalillo541,130,78,7,17,38,6,31,233,451,964,332,208,1415
Bernalillo542,66,62,1,1,10,0,2,43,233,178,57,128,411
Bernalillo543,39,51,2,1,8,0,5,35,170,124,51,90,294
Bernalillo544,57,90,1,3,14,2,3,60,269,239,83,147,508
Bernalillo545,66,68,1,3,9,4,14,41,245,205,72,134,450
Bernalillo546,70,58,2,3,11,2,8,60,227,273,86,128,500
Bernalillo547,45,55,3,1,6,1,4,42,251,169,57,100,420
Bernalillo548,105,84,3,2,8,6,16,78,343,339,113,189,682
Bernalillo549,77,85,3,6,15,1,18,64,296,277,107,162,573
Bernalillo55,98,57,1,2,9,1,1,24,347,164,38,155,511
Bernalillo550,81,65,0,1,11,0,8,49,251,196,69,146,447
Bernalillo551,24,17,1,0,5,1,0,5,91,55,12,41,146
Bernalillo552,85,104,3,7,24,3,5,79,358,367,121,189,725
Bernalillo553,117,150,14,14,39,12,24,222,550,860,325,267,1410
Bernalillo554,66,55,2,1,9,0,15,48,204,193,75,121,397
Bernalillo555,41,60,4,3,14,0,7,51,190,196,79,101,386
Bernalillo556,34,76,6,4,16,5,8,52,197,186,91,110,383
Bernalillo557,123,200,5,10,66,6,38,267,588,1023,392,323,1611
Bernalillo558,32,54,6,2,5,2,9,52,174,191,76,86,365
Bernalillo559,100,147,1,10,17,0,14,108,476,471,150,247,947
Bernalillo56,105,82,1,1,4,0,1,38,369,224,45,187,593
Bernalillo560,108,81,7,2,17,4,22,135,414,565,187,189,979
Bernalillo561,79,82,5,2,19,2,21,73,310,317,122,161,627
Bernalillo562,161,112,7,3,18,4,35,90,549,346,157,273,895
Bernalillo563,105,71,5,6,24,4,21,101,329,398,161,176,727
Bernalillo564,50,44,2,1,9,1,10,61,167,201,84,94,368
Bernalillo565,66,45,5,0,8,1,11,84,227,248,109,111,475
Bernalillo566,124,85,6,3,22,3,24,123,398,453,181,209,851
Bernalillo567,13,7,2,1,2,2,5,10,44,55,22,20,99
Bernalillo568,101,53,5,2,18,1,25,179,336,533,230,154,869
Bernalillo569,196,100,9,4,30,5,36,148,581,465,232,296,1046
Bernalillo57,131,75,2,4,10,2,8,88,463,381,114,206,844
Bernalillo570,90,97,3,9,19,1,6,99,318,334,137,187,652
Bernalillo571,95,125,2,8,22,0,10,80,367,421,122,220,788
