county,precinct,office,district,party,candidate,votes
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,"Roque ""Rocky"" De La Fuente",0
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Uncommitted,2
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Under Votes,0
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Ben Carson,111
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Carly Fiorina,0
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Chris Christie,1
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Donald J. Trump,309
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Jeb Bush,5
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,John R. Kasich,27
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Lindsey Graham,0
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Marco Rubio,91
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Mike Huckabee,1
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Rand Paul,0
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Rick Santorum,1
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Ted Cruz,148
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Uncommitted,10
Autauga,170 CAMELLIA BAPTIST CH,President,,REP,Under Votes,4
Autauga,170 CAMELLIA BAPTIST CH,U.S. House,2,REP,Becky Gerritson,235
Autauga,170 CAMELLIA BAPTIST CH,U.S. House,2,REP,Martha Roby,396
Autauga,170 CAMELLIA BAPTIST CH,U.S. House,2,REP,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CH,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",26
Autauga,170 CAMELLIA BAPTIST CH,U.S. House,2,REP,Under Votes,51
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,DEM,Charles Nana,61
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,DEM,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,DEM,Ron Crumpton,81
