precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
HANCOCKSPARTA 4C,24,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,3,80,2,25,10,33,107
HARALSONBEREA-STEADMAN,3,0,3,0,0,0,0,3,10,0,66,0,0,0,0,1,2,0,1,0,18,0,84,23,7,323,185,6,353
HARALSONBREMEN,148,2,96,8,0,0,0,7,197,1,430,0,0,1,2,5,46,1,6,0,337,0,774,558,97,2969,1807,254,3624
HARALSONBUCHANAN,68,0,28,2,0,0,0,1,42,0,177,0,0,1,0,1,12,0,0,0,90,1,376,169,20,1154,701,98,1343
HARALSONBUNCOMBE,15,1,16,0,0,0,0,1,26,0,52,0,0,0,0,1,5,0,0,0,27,0,141,52,11,459,253,32,522
HARALSONCORINTH,22,0,24,1,0,0,0,2,22,0,166,0,0,0,0,0,8,0,0,0,44,0,240,78,14,821,482,47,913
HARALSONFELTON,4,0,5,1,0,0,0,0,5,0,12,0,0,0,0,0,1,0,0,0,3,0,75,13,2,153,96,10,168
HARALSONLITTLE CREEK,13,0,9,0,0,0,0,1,11,0,55,0,0,0,1,0,6,0,1,0,23,0,128,46,9,386,226,22,441
HARALSONMT VIEW,2,0,3,0,0,0,0,3,4,0,38,0,0,0,0,0,2,0,0,0,7,0,55,12,1,170,109,5,183
HARALSONSEVENTH,50,1,31,3,0,0,0,1,27,1,125,0,0,0,0,4,9,0,1,0,53,0,240,151,23,837,461,85,1011
