precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
GOLDEN VALLEYLAVINA,6,15,0,14,6,1,101,1,31,1,18,187,122,21,238
GOLDEN VALLEYRYEGATE,21,14,2,9,9,3,102,2,40,2,11,178,125,35,233
GRANITEPRECINCT #1,30,65,3,9,9,1,94,1,123,6,27,260,116,95,417
GRANITEPRECINCT #10,19,52,3,25,7,3,146,1,91,9,13,347,184,71,461
GRANITEPRECINCT #2,59,70,4,17,18,9,147,1,183,8,27,336,195,129,555
GRANITEPRECINCT #9,30,29,4,8,12,7,100,0,75,2,16,249,131,59,342
HILLPRECINCT #01,72,110,4,15,8,9,117,0,241,20,58,318,153,182,637
HILLPRECINCT #02,58,52,2,3,4,1,52,4,136,9,43,169,62,110,361
HILLPRECINCT #03,81,71,7,17,7,5,122,1,183,6,40,319,158,152,549
HILLPRECINCT #07,89,96,3,11,15,5,133,1,230,10,36,369,167,185,646
HILLPRECINCT #08,102,71,5,11,17,3,127,2,195,3,37,337,163,173,574
HILLPRECINCT #09,99,57,2,6,14,4,85,2,201,3,25,245,111,156,476
HILLPRECINCT #10,31,46,3,1,4,8,49,0,127,14,32,157,65,77,330
HILLPRECINCT #13,27,40,1,5,2,1,50,0,79,4,24,129,59,67,236
HILLPRECINCT #14,23,40,1,12,2,3,110,4,65,3,20,262,128,63,354
HILLPRECINCT #15,24,36,1,4,5,0,60,1,63,1,13,181,70,60,259
HILLPRECINCT #16,28,21,2,11,4,1,73,0,64,2,10,181,91,49,257
HILLPRECINCT #18,11,17,2,0,0,0,10,0,80,9,3,31,12,28,123
HILLPRECINCT #20,28,27,5,16,8,3,88,1,51,6,19,179,120,55,256
HILLPRECINCT #21,15,20,1,1,8,1,47,0,35,6,4,91,58,35,136
HILLPRECINCT #22,36,22,10,1,5,2,98,0,75,0,13,170,116,58,258
HILLPRECINCT #25,65,73,1,7,7,6,126,3,140,7,55,332,147,138,537
HILLPRECINCT #28,79,77,0,0,0,0,0,2,406,15,6,8,0,156,437
JEFFERSON01-71,60,74,3,36,14,9,255,2,168,6,33,613,317,134,822
JEFFERSON02-75,80,109,8,54,21,13,274,4,210,8,63,689,370,189,974
JEFFERSON03-75,7,10,0,1,1,0,16,0,18,2,6,35,18,17,61
JEFFERSON04-75,116,127,7,29,13,8,270,5,304,18,59,594,327,243,980
JEFFERSON05-75,17,17,0,6,0,1,37,0,48,2,8,90,44,34,148
JEFFERSON06-75,36,27,2,12,8,2,111,2,104,2,16,278,135,63,402
JEFFERSON07-75,109,135,3,20,18,6,180,3,301,6,62,481,227,244,853
JEFFERSON08-75,63,54,1,10,5,2,107,1,173,7,35,283,125,117,499
JEFFERSON09-75,121,126,5,43,31,13,196,3,317,10,61,549,288,247,940
JEFFERSON10-75,107,109,4,31,27,13,205,4,355,14,51,565,280,216,989
LEWIS & CLARKPCT 01,0,114,0,39,15,13,274,4,264,10,85,729,341,114,1092
LEWIS & CLARKPCT 02,0,126,0,26,19,16,281,7,334,11,60,707,342,126,1119
LEWIS & CLARKPCT 03,0,143,0,19,14,11,231,4,345,16,76,625,275,143,1066
LEWIS & CLARKPCT 04,0,95,0,35,20,12,208,2,319,20,74,565,275,95,980
LEWIS & CLARKPCT 05,0,225,0,13,16,4,94,5,548,18,74,343,127,225,988
