precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
RHEA1-1 S.C.N.,63,0,26,9,32,1,130,1,1,0,5,14,0,0,100,0,295
RHEA2-1 S.C.S.,74,4,33,13,51,1,121,0,0,0,6,26,0,0,71,0,230
RUTHERFORD1-APR,65,0,33,2,25,0,87,0,0,0,0,15,0,0,53,0,151
RUTHERFORD1-AUG,152,0,121,8,104,1,381,1,0,0,4,42,0,5,200,0,376
RUTHERFORD1-DEC,85,1,65,2,36,1,101,0,0,0,1,6,0,1,46,0,114
RUTHERFORD1-FEB,132,4,72,11,77,2,363,1,0,0,0,50,0,2,203,0,405
RUTHERFORD1-JAN,423,3,172,10,80,2,198,1,0,0,2,16,0,1,117,0,268
RUTHERFORD1-JUL,174,0,150,7,74,0,250,1,1,0,4,33,0,2,174,0,265
RUTHERFORD1-JUN,164,3,119,8,97,0,372,0,0,0,1,34,0,4,160,0,558
RUTHERFORD1-MAR,125,4,96,10,85,0,265,0,1,1,0,44,0,3,181,0,419
RUTHERFORD1-MAY,178,1,108,2,47,0,189,0,0,0,0,13,0,4,70,0,229
RUTHERFORD1-NOV,206,2,122,4,48,0,178,0,0,1,5,14,0,0,104,0,279
RUTHERFORD1-OCT,268,2,143,2,65,1,274,1,0,0,0,25,0,1,203,0,303
RUTHERFORD1-SEP,270,2,140,10,94,0,370,1,0,0,1,38,0,1,220,0,396
RUTHERFORD2-APR,85,0,64,2,29,0,101,0,0,0,0,29,0,0,109,0,102
RUTHERFORD2-AUG,73,4,28,1,31,0,97,1,0,0,1,7,0,0,43,0,146
RUTHERFORD2-DEC,129,2,88,6,41,3,133,0,1,1,0,12,0,0,69,2,209
RUTHERFORD2-FEB,162,1,117,6,79,0,368,2,0,0,2,29,0,3,180,0,383
RUTHERFORD2-JUL,239,2,177,14,128,2,327,0,0,0,1,56,0,3,287,0,412
RUTHERFORD2-JUN,186,2,148,8,109,0,335,1,0,1,5,30,0,4,196,1,379
RUTHERFORD2-MAR,141,1,94,7,71,1,228,0,0,0,2,13,0,2,160,0,322
RUTHERFORD2-MAY,216,0,99,4,28,0,93,0,0,0,0,10,0,1,40,0,131
RUTHERFORD2-NOV,202,0,111,8,60,0,216,0,0,0,1,20,0,4,122,1,270
RUTHERFORD2-OCT,196,1,129,6,77,0,267,0,0,0,0,32,0,1,152,0,328
RUTHERFORD2-SEP,179,4,123,9,101,1,330,1,0,0,3,40,0,2,220,0,418
RUTHERFORD3-APR,191,2,132,10,77,2,294,0,0,0,2,43,0,2,246,1,338
RUTHERFORD3-AUG,81,0,78,4,78,0,223,1,1,1,0,21,0,5,78,0,281
RUTHERFORD3-DEC,69,0,47,2,12,0,45,0,0,0,0,6,0,1,28,0,64
RUTHERFORD3-FEB,52,0,35,5,40,0,131,0,0,0,2,22,0,0,77,0,198
RUTHERFORD4-APR,60,1,84,2,16,0,71,2,0,0,3,4,0,2,36,0,86
RUTHERFORD4-AUG,98,0,55,3,50,0,184,0,0,0,1,16,0,5,120,0,200
SCOTT5-1 PINE HILL,16,1,13,1,11,0,27,0,0,0,1,1,0,1,20,0,58
SUMNER11-1 HUNTER,85,2,47,5,60,1,197,0,0,0,0,27,0,1,92,0,242
SUMNER11-2 GOODLETSVILLE,222,0,92,13,104,0,329,0,0,0,2,58,0,4,256,0,405
SUMNER9-1 NANNIE BERRY,195,2,151,15,106,0,329,2,0,0,1,69,0,1,282,0,404
TROUSDALEPAPER BALLOTS,25,0,2,0,0,0,7,1,0,1,0,1,0,0,0,0,4
VAN BURENCUMMINGSVILLE -4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1
VAN BURENCUMMINGSVILLE -6,20,1,15,1,7,0,27,0,0,0,0,3,0,0,10,0,51
