precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
COAHOMACLARKSDALE # 5,356.0,4.0,3.0,66.0,4.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,48.0
COPIAHCRYSTAL SPRING EAST,348.0,0.0,0.0,49.0,1.0,5.0,5.0,1.0,257.0,0.0,0.0,2.0,48.0,0.0,1.0,32.0,0.0,365.0
COPIAHCRYSTAL SPRING NORTH,131.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,0.0,34.0
COPIAHCRYSTAL SPRING SOUTH,592.0,1.0,1.0,71.0,6.0,2.0,3.0,0.0,99.0,0.0,0.0,1.0,15.0,0.0,0.0,18.0,0.0,151.0
COPIAHCRYSTAL SPRING WEST,175.0,1.0,1.0,20.0,0.0,1.0,7.0,0.0,86.0,1.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,189.0
COURTHOUSEKEMPER,153.0,2.0,0.0,24.0,2.0,0.0,2.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,52.0
DESOTOALPHABA COCKRUM,26.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,227.0,0.0,0.0,1.0,17.0,0.0,0.0,13.0,0.0,158.0
DESOTOBAKER'S CHAPEL,33.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,129.0,0.0,0.0,0.0,23.0,0.0,1.0,21.0,0.0,133.0
DESOTOELMORE,158.0,1.0,1.0,51.0,0.0,0.0,4.0,0.0,300.0,0.0,0.0,1.0,30.0,0.0,0.0,45.0,0.0,318.0
DESOTONORTHWEST COMMUNITY COLLGE,170.0,0.0,0.0,92.0,0.0,1.0,2.0,0.0,308.0,0.0,0.0,0.0,18.0,0.0,2.0,41.0,0.0,230.0
DESOTOWAILS,213.0,0.0,0.0,87.0,0.0,2.0,7.0,1.0,268.0,0.0,0.0,2.0,30.0,0.0,0.0,37.0,1.0,312.0
FARMERS MARKETKEMPER,16.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
FORRESTWEST SIDE,122.0,0.0,0.0,63.0,0.0,0.0,5.0,0.0,84.0,0.0,0.0,1.0,40.0,0.0,1.0,24.0,0.0,91.0
FORT STEVENSKEMPER,11.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,38.0
FRANKLINLUCIAN,16.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,46.0
FRANKLINWAITTINGTON,11.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,56.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,83.0
GEORGEDEVIS,7.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,90.0,0.0,1.0,0.0,1.0,6.0,6.0,5.0,0.0,65.0
GEORGEROCKEY CREEK,14.0,0.0,0.0,13.0,0.0,1.0,10.0,2.0,239.0,0.0,0.0,0.0,20.0,0.0,0.0,37.0,0.0,292.0
