precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BURKESOUTH WAYNESBORO,280,2,38,0,7,41,0,186,0,1,2,20,0,3,147,0,268,843,29,1120,320,1992
BURKEST. CLAIR,77,0,8,0,2,8,0,18,0,0,0,1,0,0,8,0,36,138,2,128,85,268
BURKETELFAIR,109,0,14,0,2,8,0,49,1,0,0,3,0,0,18,0,80,281,13,279,123,573
BURKEVIDETTE,51,0,7,0,1,2,0,31,0,0,0,2,0,0,7,0,20,101,0,95,58,196
BUTTSBUTTS CO COMM CENTER,467,1,61,3,3,58,0,153,0,0,1,15,0,2,105,0,290,1225,58,1130,532,2413
BUTTSJENKINSBURG,216,1,27,0,4,42,2,174,0,0,0,10,0,0,73,0,290,537,25,1039,244,1601
BUTTSNAN,922,6,191,9,19,245,5,1002,2,0,7,98,0,3,597,1,1884,2566,194,6717,1128,9477
BUTTSSTARK,37,1,35,3,3,50,1,231,1,0,3,20,0,0,149,0,547,163,25,1657,76,1845
BUTTSTOWALIGA,157,3,47,3,6,61,1,279,1,0,1,43,0,0,190,0,452,497,64,1816,210,2377
BUTTSWORTHVILLE,45,0,21,0,3,34,1,165,0,0,2,10,0,1,80,1,305,144,22,1075,66,1241
CALHOUNARLINGTON,112,0,6,0,1,5,0,14,0,0,0,2,0,0,10,0,39,307,3,107,118,417
CALHOUNEDISON,82,0,10,0,0,2,0,10,0,0,0,1,0,0,5,0,10,240,2,48,92,290
CALHOUNEDISON-ARLINGTON,96,0,20,1,0,5,0,14,0,0,1,7,0,0,18,0,34,228,2,159,117,389
CALHOUNLEARY,163,0,10,0,0,12,0,27,0,0,0,2,0,0,7,0,65,274,5,212,173,491
CALHOUNMORGAN,46,0,15,0,0,5,1,40,0,0,0,3,0,0,29,0,79,130,4,304,61,438
CALHOUNNAN,499,0,61,1,1,29,1,105,0,0,1,15,0,0,69,0,227,1179,16,830,561,2025
CAMDENBROWNTOWN,7,0,14,1,2,6,0,10,0,0,0,0,0,0,17,0,145,70,11,336,22,417
CAMDENEAST KINGSLAND,230,0,122,1,8,79,3,201,0,0,2,41,0,3,210,1,415,983,138,2075,353,3196
CAMDENHARRIETTS BLUFF,53,0,14,1,2,48,0,79,0,0,0,12,0,1,91,0,266,230,29,910,68,1169
CAMDENKINGSLAND,70,0,50,0,4,23,1,46,2,1,0,14,0,0,55,1,172,376,44,700,120,1120
CAMDENMARY LEE CLARK,139,2,93,0,0,48,1,114,1,0,3,26,0,3,94,1,201,620,78,1075,234,1773
