precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
15UWCHLANPRECINCT8,0,409,9,34,318
15UWCHLANPRECINCT9,3,608,10,31,434
15VALLEYPRECINCTNORTH,8,1727,26,49,996
15VALLEYPRECINCTSOUTH,0,469,18,36,308
15WARWICKPRECINCTEAST,3,385,8,23,491
15WARWICKPRECINCTWEST,2,216,5,20,407
15WESTBRADFORDPRECINCT1,5,595,7,41,477
15WESTBRADFORDPRECINCT2,8,972,14,65,853
15WESTBRADFORDPRECINCT3,2,773,15,44,550
15WESTBRADFORDPRECINCT4,6,842,14,56,729
15WESTBRADFORDPRECINCT5,4,543,15,36,618
15WESTBRANDYWINEEAST1,6,641,9,36,763
15WESTBRANDYWINEEAST2,7,562,10,50,826
15WESTBRANDYWINEWEST,15,460,16,21,695
15WESTCALNPRECINCT1,6,760,21,59,1186
15WESTCALNPRECINCT2,14,839,16,44,1246
15WESTCHESTERWARD1,0,1011,18,51,413
15WESTCHESTERWARD2-EAST,0,283,5,7,40
15WESTCHESTERWARD2-WEST,0,546,12,24,168
15WESTCHESTERWARD3,3,869,20,44,298
15WESTCHESTERWARD4,2,534,10,34,167
15WESTCHESTERWARD5,1,973,16,64,382
15WESTCHESTERWARD6,3,842,11,48,284
15WESTCHESTERWARD7,1,918,10,44,243
15WESTGOSHENMIDDLE1,3,646,16,38,375
15WESTGOSHENMIDDLE2,7,743,17,44,481
15WESTGOSHENNORTH1,3,678,5,55,544
15WESTGOSHENNORTH2,1,515,5,17,411
15WESTGOSHENNORTH3,3,894,12,48,797
15WESTGOSHENNORTH4,6,723,14,44,801
15WESTGOSHENSOUTH1,3,741,14,36,415
15WESTGOSHENSOUTH2,3,545,4,30,456
15WESTGOSHENSOUTH3,1,442,6,27,423
15WESTGOSHENSOUTH4,3,672,5,38,606
15WESTGROVEPRECINCT1,1,302,8,18,240
15WESTGROVEPRECINCT2,2,218,1,14,198
15WESTTOWNPRECINCT1,5,685,13,47,664
15WESTTOWNPRECINCT2,7,649,16,26,613
15WESTTOWNPRECINCT3,3,880,11,50,733
15WESTTOWNPRECINCT4,2,530,15,33,540
15WESTTOWNPRECINCT5,0,395,6,29,347
15WESTVINCENT1,2,804,12,54,761
15WESTVINCENT2,2,688,8,40,717
15WESTWHITELANDPRECINCT1,2,630,11,31,539
15WESTWHITELANDPRECINCT2,6,869,14,44,456
15WESTWHITELANDPRECINCT3,4,312,10,16,254
15WESTWHITELANDPRECINCT4,2,1300,20,58,651
15WESTWHITELANDPRECINCT5,6,812,12,40,565
15WESTWHITELANDPRECINCT6,4,1201,9,57,964
15WESTWHITELANDPRECINCT7,5,567,7,33,340
15WILLISTOWNNORTH1,2,457,7,32,419
15WILLISTOWNNORTH2,1,300,4,14,259
15WILLISTOWNNORTH3,3,488,5,24,488
15WILLISTOWNNORTH4,1,412,3,25,288
15WILLISTOWNNORTH5,2,418,8,25,283
15WILLISTOWNNORTH6,4,218,2,13,109
15WILLISTOWNSOUTH1,2,466,8,23,465
15WILLISTOWNSOUTH2,1,251,3,12,262
15WILLISTOWNSOUTH3,5,619,6,35,564
16CLARION1,4,412,19,52,555
16CLARION2,4,339,8,47,793
16CLARION3,4,503,14,50,454
16FARMINGTONNORTH,5,68,5,5,154
16FARMINGTONSOUTH,1,50,2,3,114
16FARMINGTONWEST,3,116,2,11,427
16PINEYPRECINCTA(CONG3),0,37,0,4,148
16PINEYPRECINCTB(CONG5),0,0,0,0,0
16PORTEREAST,1,37,0,3,253
16PORTERWEST,5,53,2,4,389
16REDBANKDISTRICTEAST,4,50,2,6,267
16REDBANKDISTRICTWEST,1,47,1,5,296
17BECCARIAPRECINCT1,1,102,1,22,442
17BECCARIAPRECINCT2,2,43,2,4,226
17BRADFORDPRECINCT1,4,69,1,13,350
17BRADFORDPRECINCT2,2,167,3,15,697
17CLEARFIELDWARD1,3,220,11,24,417
17CLEARFIELDWARD2,2,257,8,22,533
17CLEARFIELDWARD3,1,213,5,15,361
17CLEARFIELDWARD4,4,175,2,19,361
17COOPERPRECINCT1,2,197,5,10,461
17COOPERPRECINCT2,4,70,2,11,335
17DECATURPRECINCT1,1,115,2,7,507
17DECATURPRECINCT2,3,199,2,13,445
17DUBOISWARD1,1,137,11,14,303
17DUBOISWARD2,5,212,10,14,535
17DUBOISWARD3,3,299,5,25,643
17DUBOISWARD4,2,95,10,13,296
17DUBOISWARD5,0,177,9,21,364
17LAWRENCEPRECINCTGLENRICHEY,1,97,1,3,269
17LAWRENCEPRECINCTGOLDENROD,5,213,4,18,488
17LAWRENCEPRECINCTHYDE,6,347,4,30,824
17LAWRENCEPRECINCTPLYMPTON,5,222,2,30,698
17MORRISPRECINCT1,5,195,0,23,605
17MORRISPRECINCT2,0,128,3,6,277
17SANDYPRECINCTFALLSCREEK-1,1,141,3,7,349
17SANDYPRECINCTFALLSCREEK-2,0,5,1,0,18
17SANDYPRECINCTOKLAHOMA,5,148,5,14,554
17SANDYPRECINCTSABULA,4,58,2,6,398
17SANDYPRECINCTTREASURELAKE,3,640,9,60,1720
17SANDYPRECINCTWESTSANDY,5,299,10,23,861
17WOODWARDPRECINCT1,2,162,2,15,416
17WOODWARDPRECINCT2,2,38,0,0,106
18LOCKHAVENWARD1,0,135,8,21,219
18LOCKHAVENWARD2,0,81,3,16,94
