precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
46MONTGOMERY,2049,11,1285,16,18,660,1067,34,1691
46NARBERTH,724,3,562,4,2,61,173,4,153
46NEWHANOVER,555,5,547,5,11,397,369,10,1030
46NORRISTOWN,2288,11,1564,7,11,245,196,8,560
46NORTHWALES,261,3,312,5,3,95,115,6,183
46PERKIOMEN,515,6,463,8,8,251,314,8,598
46PLYMOUTH,1656,8,1131,6,13,391,600,33,1223
46POTTSTOWN,1124,14,1186,12,25,325,234,16,839
46ROYERSFORD,259,4,333,1,7,104,94,7,268
46SKIPPACK,726,3,503,11,13,344,535,12,1009
46SOUDERTON,247,2,350,3,11,314,216,7,353
46SPRINGFIELD,2819,15,1850,16,18,434,1041,22,1105
46TOWAMENCIN,1383,13,1013,23,30,667,938,34,1480
46UPPERDUBLIN,3739,20,1950,31,26,795,1558,50,1627
46UPPERGWYNEDD,1440,4,863,22,15,500,892,21,1184
46UPPERHANOVER,332,4,332,4,10,285,254,5,738
46UPPERMERION,2469,13,1643,18,27,632,1038,31,1752
46UPPERMORELAND,1785,12,1576,27,30,759,913,42,1706
46UPPERPROVIDENCE,1453,6,1051,24,14,615,850,22,1619
46WESTNORRITON,1261,5,968,11,23,430,491,22,1138
46WHITEMARSH,2306,9,1243,18,11,494,1012,27,1194
46WHITPAIN,2156,14,1010,19,14,526,1291,27,1443
46WORCESTER,664,5,464,10,11,354,627,15,1042
47DANVILLE,210,10,254,1,10,95,75,6,275
47MAHONING,265,11,226,8,11,141,203,7,332
48BANGOR,207,7,277,3,1,82,60,3,290
48BETHLEHEM,4975,85,4664,26,31,1259,1088,46,3073
48BETHLEHEMTWP,228,4,211,3,2,102,100,1,323
48BUSHKILL,437,12,410,5,7,314,183,4,797
48EASTALLEN,304,2,241,3,3,161,97,6,473
48EASTON,1375,20,1400,14,13,243,171,10,517
48FORKS,962,9,734,7,13,383,356,10,1052
48HANOVER,1018,10,720,6,9,389,403,16,1060
48HELLERTOWN,378,8,438,2,4,120,83,4,335
48LEHIGH,592,19,562,5,9,369,160,8,1201
48LOWERMT.BETHEL,145,2,183,2,1,70,48,1,269
48LOWERNAZARETH,416,7,314,0,4,238,166,3,575
48LOWERSAUCON,780,12,733,7,9,429,380,8,1011
48MOORE,521,17,529,4,7,355,144,4,1026
48NAZARETH,314,9,397,4,7,147,101,5,335
48NORTHAMPTON,590,15,599,4,8,211,101,4,664
48NORTHCATASAUQUA,193,1,186,2,4,70,51,3,180
48PALMER,1424,14,1106,2,12,521,383,21,1528
48PENARGYL,152,0,218,4,3,88,45,7,282
48PLAINFIELD,360,14,288,2,9,189,116,2,641
48UPPERMT.BETHEL,267,6,326,4,6,190,114,2,706
48UPPERNAZARETH,347,10,299,3,7,155,120,9,457
48WASHINGTON,263,8,234,1,3,130,73,0,427
48WILLIAMS,336,10,316,2,4,173,126,2,628
48WILSON,353,2,431,3,8,116,61,8,252
49COAL,427,20,416,8,7,93,69,3,689
49DELAWARE,109,3,116,4,5,216,92,4,460
49KULPMONT,192,10,179,2,3,34,23,0,173
49MILTON,209,6,218,6,8,200,127,3,470
