precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
TOM GREEN358,62,1,1,0,0,0,47,1,15,91,1,584,0,0,0,5,24,2,112,0,363
TOM GREEN401,1,0,0,0,0,0,7,0,0,2,0,13,0,0,0,0,8,0,13,0,10
TOM GREEN402,82,1,1,0,0,0,98,0,17,60,0,249,2,0,0,1,46,2,131,0,143
TOM GREEN420,3,0,0,0,0,0,5,0,1,6,1,56,0,0,0,0,6,0,34,0,19
TOM GREEN421,89,1,0,0,0,0,46,1,19,60,3,466,2,0,0,0,42,1,190,0,251
TOM GREEN422,17,1,0,1,0,0,21,0,3,38,0,199,0,0,0,2,13,1,61,0,141
TOM GREEN423,17,0,0,0,0,0,10,0,0,23,1,172,0,0,0,0,8,1,46,0,104
TOM GREEN424,56,2,0,0,0,0,61,0,7,31,0,228,0,2,0,3,30,0,101,0,140
TOM GREEN434,36,2,0,0,0,0,49,0,4,12,0,98,2,0,0,1,7,0,24,1,49
TOM GREEN435,21,1,0,0,1,0,31,0,3,18,0,98,0,0,0,2,9,0,36,0,43
TOM GREEN436,113,0,0,0,0,0,119,1,17,80,1,419,7,1,0,5,58,9,233,0,247
TRAVIS101,568,4,1,0,0,1,433,2,4,15,0,99,0,0,0,1,7,2,67,0,75
TRAVIS102,115,1,0,0,0,0,105,0,0,3,0,26,1,0,0,0,3,3,23,0,24
TRAVIS103,165,0,0,0,0,0,181,0,2,10,0,73,1,0,0,0,11,0,37,0,68
