precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
GRANT44,1.0,23.0,4.0,94.0
GRANT45,0.0,50.0,9.0,92.0
GRANT46,6.0,52.0,5.0,148.0
GRANT47,1.0,37.0,11.0,173.0
GRANT49,2.0,29.0,3.0,79.0
GRANT52,0.0,19.0,7.0,57.0
GRANT53,0.0,13.0,2.0,33.0
GRANT54,3.0,45.0,7.0,112.0
GRANTTOTAL,36.0,971.0,175.0,2382.0
GREGORY1,8.0,174.0,37.0,758.0
GREGORY2,10.0,160.0,23.0,569.0
GREGORY3,4.0,57.0,18.0,273.0
GREGORYTOTAL,22.0,391.0,78.0,1600.0
HAAKON1,0.0,8.0,3.0,96.0
HAAKON16,2.0,17.0,6.0,188.0
HAAKON17,0.0,20.0,3.0,181.0
HAAKON19,2.0,21.0,11.0,162.0
HAAKON20,0.0,6.0,3.0,180.0
HAAKON4,0.0,5.0,1.0,129.0
HAAKONTOTAL,4.0,77.0,27.0,936.0
HAMLIN2,2.0,17.0,3.0,125.0
HAMLIN21,12.0,166.0,32.0,483.0
HAMLIN22,5.0,12.0,3.0,109.0
HAMLIN23,4.0,54.0,14.0,240.0
HAMLIN24,3.0,117.0,29.0,471.0
HAMLIN25,3.0,143.0,29.0,285.0
HAMLIN26,3.0,46.0,14.0,338.0
HAMLINTOTAL,32.0,555.0,124.0,2051.0
HAND1(3),2.0,16.0,1.0,208.0
HAND11,2.0,86.0,15.0,262.0
HAND12,3.0,98.0,29.0,304.0
HAND2,1.0,18.0,1.0,60.0
HAND4,0.0,9.0,2.0,42.0
HAND5(8),3.0,23.0,11.0,184.0
HAND6,0.0,46.0,9.0,124.0
HAND7,1.0,29.0,5.0,82.0
HAND9(10),5.0,9.0,3.0,125.0
HANDTOTAL,17.0,334.0,76.0,1391.0
HANSON1,13.0,233.0,28.0,689.0
HANSON2,2.0,87.0,18.0,244.0
HANSON3,7.0,50.0,3.0,236.0
HANSON4,4.0,38.0,9.0,230.0
HANSON5,0.0,16.0,1.0,98.0
HANSONTOTAL,26.0,424.0,59.0,1497.0
HARDING1,2.0,11.0,10.0,140.0
HARDING2,1.0,4.0,7.0,110.0
HARDING3,1.0,5.0,3.0,48.0
HARDING4,0.0,7.0,4.0,101.0
HARDING5,0.0,0.0,0.0,42.0
HARDING6,2.0,5.0,3.0,81.0
HARDING7,0.0,3.0,1.0,55.0
HARDING8,0.0,3.0,3.0,118.0
HARDINGTOTAL,6.0,38.0,31.0,695.0
HUGHESABSENTEE,7.0,706.0,91.0,1140.0
HUGHESBLUNT CITY HALL,2.0,30.0,9.0,151.0
HUGHESFAITH LUTHERAN CHURCH,17.0,526.0,108.0,1164.0
HUGHESHAROLD CITY AUDITORIUM,3.0,9.0,2.0,92.0
HUGHESHYDE RESIDENCE,0.0,32.0,5.0,48.0
HUGHESLUTHERAN MEMORIAL CHURCH,14.0,451.0,108.0,788.0
HUGHESNEW LIFE ASSEMBLY OF GOD,22.0,446.0,115.0,1328.0
HUGHESPILC REC CENTER,6.0,250.0,42.0,463.0
HUGHESTOTAL,71.0,2450.0,480.0,5174.0
HUTCHINSON1,12.0,127.0,19.0,536.0
HUTCHINSON2,7.0,175.0,38.0,547.0
HUTCHINSON3,2.0,21.0,0.0,120.0
HUTCHINSON4,6.0,104.0,12.0,332.0
HUTCHINSON5,8.0,176.0,30.0,466.0
HUTCHINSON6,5.0,68.0,10.0,350.0
HUTCHINSON7,4.0,21.0,3.0,166.0
HUTCHINSONTOTAL,44.0,692.0,112.0,2517.0
HYDEHYDE COUNTY MEMORIAL AUDITORIUM - MAIN ARENA,5.0,125.0,17.0,543.0
JACKSON1,0.0,2.0,0.0,39.0
JACKSON2,2.0,17.0,1.0,94.0
JACKSON3,2.0,28.0,7.0,219.0
JACKSON4,2.0,30.0,5.0,128.0
JACKSON5,0.0,5.0,3.0,85.0
JACKSON6,4.0,31.0,8.0,71.0
JACKSON7,4.0,187.0,8.0,50.0
JACKSON8,0.0,23.0,4.0,36.0
JACKSONTOTAL,14.0,323.0,36.0,722.0
JERAULD1,10.0,152.0,21.0,286.0
JERAULD2,2.0,32.0,5.0,109.0
JERAULD3,2.0,33.0,2.0,107.0
JERAULD4,1.0,23.0,6.0,71.0
JERAULD5,4.0,24.0,2.0,75.0
JERAULDTOTAL,19.0,264.0,36.0,648.0
JONES1,1.0,21.0,11.0,167.0
