precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MOBILE_SONRISE BAPTIST CHURCH #1,169,5,0,8,512,0,62,0,0,13,1,22,0,61,0,0,0,8,1,0,67,0,135,5,0,694,300,75
MOBILE_SONRISE BAPTIST CHURCH #2,123,3,0,21,388,0,52,0,0,25,1,30,0,77,0,0,0,11,1,0,46,0,117,6,0,535,289,77
MOBILE_ST IGNATIUS MARION CENTER #1,175,2,0,28,637,0,40,0,0,21,2,44,3,55,1,2,0,59,1,0,167,0,152,9,0,842,495,61
MOBILE_ST IGNATIUS MARION CENTER #2,200,5,0,28,717,0,53,0,0,26,3,36,0,103,0,0,0,82,2,0,253,1,238,7,0,950,725,79
MOBILE_ST JOAN OF ARC CATHOLIC #1,760,11,0,32,282,0,308,0,1,66,0,16,2,47,2,0,0,51,1,0,93,0,99,12,0,1085,323,375
MOBILE_ST JOAN OF ARC CATHOLIC #2,780,8,0,38,266,0,335,0,0,113,1,11,0,32,0,0,0,41,2,0,76,0,74,9,0,1092,246,448
MOBILE_ST JOHNS EPISCOPAL CHURCH #1,1036,8,0,19,162,0,532,0,0,69,1,4,0,14,1,0,0,12,1,0,24,2,55,6,0,1225,120,601
MOBILE_ST JOHNS EPISCOPAL CHURCH #2,554,6,0,10,101,0,346,0,0,46,0,11,0,15,0,0,0,4,1,0,25,0,46,3,0,671,105,392
MOBILE_ST JOHNS EPISCOPAL CHURCH #3,691,0,0,8,94,0,244,0,0,32,2,4,0,9,0,0,0,6,0,0,11,0,25,5,0,793,62,276
MOBILE_ST PHILLIP NERI CATHOLIC #1,154,3,0,20,797,0,34,0,0,15,1,11,0,61,0,0,0,17,2,0,49,0,172,3,0,974,316,49
MOBILE_ST PHILLIP NERI CATHOLIC #2,128,6,0,14,610,0,59,1,0,24,5,31,2,110,0,0,3,27,2,0,103,0,371,4,0,758,658,84
MOBILE_SUNLIGHT AUDITORIUM #1,859,3,0,9,14,0,520,0,1,33,0,2,0,1,0,0,0,0,0,0,1,0,1,3,0,885,8,554
MOBILE_SUNLIGHT AUDITORIUM #2,444,0,0,2,7,0,178,0,0,16,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,453,3,194
MOBILE_TANNER WILLIAMS HISTORICAL #1,31,0,0,4,437,0,1,0,0,3,0,22,0,44,0,0,0,6,0,0,30,0,80,1,0,472,183,4
MOBILE_TANNER WILLIAMS HISTORICAL #2,27,1,0,7,397,0,12,0,1,15,1,33,1,132,0,0,1,12,1,0,63,0,175,5,0,432,424,28
MOBILE_THE MUG CAFE #1,477,4,0,28,439,0,165,0,1,46,1,22,0,39,0,0,0,17,1,0,81,1,163,5,0,948,330,212
MOBILE_THE MUG CAFE #2,373,8,0,17,320,0,154,0,1,46,1,19,1,39,0,0,2,14,1,0,65,1,140,4,0,718,287,201
MOBILE_THE RIVER #1,116,6,0,10,641,0,44,0,0,21,2,40,1,103,0,1,0,6,0,0,48,0,178,2,0,773,381,65
MOBILE_THE RIVER #2,154,3,0,16,927,0,54,1,0,28,2,40,1,145,1,0,2,13,0,0,86,0,277,6,0,1100,573,83
MOBILE_THOMAS SULLIVAN COMM CENTER #1,280,0,0,0,0,0,162,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1,176
MOBILE_THOMAS SULLIVAN COMM CENTER #2,288,3,0,1,1,0,152,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,293,1,169
MOBILE_THREE CIRCLE CHURCH MIDTOWN #1,701,9,0,31,395,0,271,1,0,55,1,14,0,51,1,0,1,17,3,0,65,0,125,9,0,1136,287,327
MOBILE_THREE CIRCLE CHURCH MIDTOWN #2,522,7,0,21,319,0,200,0,1,51,1,20,0,53,0,1,0,17,1,0,73,0,138,8,0,869,312,252
