county,precinct,office,district,candidate,party,votes
New York,040/73,U.S. Senate,NYC,Affidavit,,10
New York,040/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,494
New York,040/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,137
New York,040/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,7
New York,040/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,8
New York,040/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,5
New York,040/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,8
New York,040/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,040/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,040/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,6
New York,040/73,U.S. Senate,NYC,Scattered,,1
New York,041/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,041/73,U.S. Senate,NYC,Absentee / Military,,52
New York,041/73,U.S. Senate,NYC,Federal,,7
New York,041/73,U.S. Senate,NYC,Special Presidential,,0
New York,041/73,U.S. Senate,NYC,Affidavit,,21
New York,041/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,661
New York,041/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,170
New York,041/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,7
New York,041/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,8
New York,041/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,12
New York,041/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,11
New York,041/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,3
New York,041/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,041/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,7
New York,041/73,U.S. Senate,NYC,Scattered,,1
New York,042/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,042/73,U.S. Senate,NYC,Absentee / Military,,47
New York,042/73,U.S. Senate,NYC,Federal,,22
New York,042/73,U.S. Senate,NYC,Special Presidential,,0
New York,042/73,U.S. Senate,NYC,Affidavit,,16
New York,042/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,599
New York,042/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,165
New York,042/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,8
New York,042/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,13
New York,042/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,12
New York,042/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,042/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,3
New York,042/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,042/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,6
New York,043/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,043/73,U.S. Senate,NYC,Absentee / Military,,9
New York,043/73,U.S. Senate,NYC,Federal,,22
New York,043/73,U.S. Senate,NYC,Special Presidential,,0
New York,043/73,U.S. Senate,NYC,Affidavit,,5
New York,043/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,79
New York,043/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,28
New York,043/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,3
New York,043/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,0
New York,043/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,3
New York,043/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,0
New York,043/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,043/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,043/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,0
New York,044/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,044/73,U.S. Senate,NYC,Absentee / Military,,21
New York,044/73,U.S. Senate,NYC,Federal,,7
New York,044/73,U.S. Senate,NYC,Special Presidential,,0
New York,044/73,U.S. Senate,NYC,Affidavit,,4
New York,044/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,318
New York,044/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,40
New York,044/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,5
New York,044/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,3
New York,044/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,9
New York,044/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,3
New York,044/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,044/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,044/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,1
New York,045/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,045/73,U.S. Senate,NYC,Absentee / Military,,40
New York,045/73,U.S. Senate,NYC,Federal,,15
New York,045/73,U.S. Senate,NYC,Special Presidential,,0
New York,045/73,U.S. Senate,NYC,Affidavit,,7
New York,045/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,239
New York,045/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,102
New York,045/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,8
