precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
CRITTENDEN_JERICHO CITY HALL,0,69,2,1,2,0,2,176,29,1,1,15,0,3,1,6,0,27,0,0,0,0,5,0,12,0,32,252,83,49
CRITTENDEN_MT PISGAH CHURCH,0,37,0,0,0,0,2,18,16,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,6,0,3,57,9,21
CRITTENDEN_ST LUKE CHURCH,1,206,0,0,0,0,5,5,64,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,217,2,73
CRITTENDEN_SUNSET,0,60,2,0,0,0,1,2,32,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,39
CRITTENDEN_WM HIGH SCHOOL,8,1144,13,4,10,6,42,1440,452,8,10,139,10,25,6,29,4,155,0,1,5,0,11,2,112,0,290,2667,615,644
CRITTENDEN_WONDER BOYS CLUB,3,445,4,4,2,2,2,40,164,0,1,11,0,10,1,3,0,4,0,0,1,0,0,0,1,0,10,502,20,186
CRITTENDEN_WR GOLDEN,0,193,0,0,0,3,1,38,128,1,0,9,0,5,1,2,0,2,0,0,0,0,0,0,0,0,6,235,11,143
"CROSS_BAY VILLAGE, BIRDEYE",1,38,0,0,1,1,2,95,21,0,0,5,0,0,0,5,0,19,0,0,0,0,1,0,6,0,26,138,57,26
CROSS_BEDFORD,2,40,0,1,3,1,2,164,16,0,1,8,1,0,0,3,0,21,0,0,1,0,0,0,10,0,40,213,75,26
CROSS_BRUSHY LAKE,0,21,0,0,2,1,3,83,11,0,0,2,1,0,0,1,0,12,0,0,0,0,1,0,7,0,16,110,37,14
CROSS_ELLIS,2,22,1,1,0,1,5,168,8,0,0,6,0,0,0,2,0,45,0,0,1,1,3,0,15,0,43,200,110,14
CROSS_FAIR OAKS,1,11,0,0,0,0,0,54,5,0,0,1,0,0,1,4,0,6,0,0,0,0,0,0,3,0,7,66,21,6
CROSS_HICKORY RIDGE CITY,1,21,1,2,0,0,0,85,15,0,0,6,0,0,1,2,0,14,1,0,0,0,2,0,15,0,12,110,47,21
CROSS_HICKORY RIDGE TOWNSHIP,0,14,0,2,2,1,1,90,4,0,0,4,0,0,1,2,0,11,0,0,3,0,2,0,11,0,13,110,43,8
CROSS_MITCHELL,3,35,0,0,0,1,2,138,11,0,0,9,0,0,0,2,0,27,0,0,0,0,1,1,3,0,22,179,56,20
CROSS_PARKIN WARD 1,0,111,3,1,0,1,3,47,23,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,3,1,1,166,12,25
CROSS_PARKIN WARD 2,3,91,2,1,1,0,0,20,26,0,0,7,0,0,1,2,0,4,0,0,0,0,0,0,2,0,11,118,20,33
CROSS_PARKIN WARD 3,0,94,0,2,0,0,1,8,61,1,2,8,0,0,0,1,0,6,0,0,1,0,0,0,0,0,6,105,14,72
CROSS_SEARCY,6,78,2,4,0,2,12,415,32,1,2,13,0,1,0,14,0,77,0,0,6,0,1,1,23,0,85,519,207,49
