precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
BREVARD_12009120 PRECINCT 120,787,1,1,10,4,91,305,5,50,0,0,0,4,0,0,0,1,1,0,6,0,19,894,31,360
BREVARD_12009121 PRECINCT 121,459,9,1,61,16,1210,127,18,125,8,16,0,164,0,0,0,3,38,2,172,0,334,1756,737,270
BREVARD_12009122 PRECINCT 122,513,9,2,64,12,1102,140,10,99,5,2,1,106,1,0,0,1,15,0,100,0,228,1702,459,249
BREVARD_12009123 PRECINCT 123,777,3,5,83,17,1471,214,12,145,7,7,1,149,0,0,0,2,22,1,123,0,319,2356,631,371
BREVARD_12009124 PRECINCT 124,955,6,3,123,15,1674,256,20,182,21,11,1,159,1,0,0,0,28,2,163,0,369,2776,755,458
BREVARD_12009125 PRECINCT 125,899,9,6,96,22,1836,242,17,176,13,11,0,133,0,0,2,2,43,2,163,0,456,2868,825,435
BREVARD_12009126 PRECINCT 126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009127 PRECINCT 127,235,0,1,8,4,459,72,1,38,5,2,0,30,0,0,0,0,11,0,49,0,128,707,225,111
BREVARD_12009128 PRECINCT 128,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
BREVARD_12009129 PRECINCT 129,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0
BREVARD_12009130 PRECINCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009131 PRECINCT 131,382,3,1,32,7,650,94,5,70,1,2,0,68,0,0,0,0,18,1,74,0,131,1075,295,169
BREVARD_12009132 PRECINCT 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009133 PRECINCT 133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009134 PRECINCT 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009135 PRECINCT 135,428,2,1,30,6,963,23,2,20,2,0,0,29,0,0,0,0,4,0,15,0,76,1430,126,45
BREVARD_12009136 PRECINCT 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREVARD_12009200 PRECINCT 200,557,4,4,45,8,790,168,11,150,8,4,1,121,0,0,0,1,43,2,111,0,192,1408,483,329
BREVARD_12009201 PRECINCT 201,757,6,1,88,16,1689,262,11,193,31,19,0,344,0,0,0,1,146,3,445,0,674,2557,1663,466
BREVARD_12009202 PRECINCT 202,697,5,0,68,19,1393,171,15,146,9,7,0,170,0,0,0,0,57,0,146,2,384,2182,775,332
BREVARD_12009203 PRECINCT 203,1016,12,4,100,29,1725,272,13,221,17,9,2,133,1,0,0,0,77,2,193,0,409,2886,843,506
BREVARD_12009204 PRECINCT 204,1339,3,5,71,44,1879,355,16,231,6,18,3,162,0,0,0,0,68,2,213,0,522,3341,994,602
BREVARD_12009205 PRECINCT 205,1470,5,6,162,39,3549,384,22,288,22,26,2,420,0,0,1,4,143,1,519,1,1041,5231,2180,694
BREVARD_12009206 PRECINCT 206,645,2,0,69,30,1323,188,13,148,0,8,0,122,0,0,0,1,48,3,158,0,357,2069,697,349
