contest,choice,precinct_id,vote,polling_place_votes,early_votes,provisional_votes,party_name,contest_name,candidate,precinct,precinct_name,subjurisdiction,votes_allowed,referendum_flag
0,0,4,2372,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,41,0,,,
0,0,4,1133,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,42,0,,,
0,0,4,1276,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,43,0,,,
0,0,4,2768,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,44,0,,,
0,0,4,1669,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,45,0,,,
0,0,4,1227,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,46,0,,,
0,0,4,899,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,47,0,,,
0,0,4,1465,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,48,0,,,
0,0,4,2320,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,49,0,,,
0,0,5,1307,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,50,0,,,
0,0,5,2018,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,51,0,,,
0,0,5,1739,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,52,0,,,
0,0,5,788,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,53,0,,,
0,0,5,1809,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,54,0,,,
0,0,5,1067,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,55,0,,,
0,0,5,1048,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,56,0,,,
0,0,5,1179,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,57,0,,,
0,0,5,1712,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,58,0,,,
0,0,5,2449,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,59,0,,,
0,0,6,1729,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,60,0,,,
0,0,6,2598,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,61,0,,,
0,0,6,1688,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,62,0,,,
0,0,6,1792,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,63,0,,,
0,0,6,1433,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,64,0,,,
0,0,6,1197,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,65,0,,,
