county,precinct,office,district,candidate,party,votes
Bronx,024/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,024/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,025/77,President,NYC,Manually Counted Emergency,,0
Bronx,025/77,President,NYC,Absentee / Military,,7
Bronx,025/77,President,NYC,Federal,,0
Bronx,025/77,President,NYC,Special Presidential,,0
Bronx,025/77,President,NYC,Affidavit,,29
Bronx,025/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,621
Bronx,025/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,21
Bronx,025/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,025/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Bronx,025/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Bronx,025/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,025/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,025/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,026/77,President,NYC,Manually Counted Emergency,,0
Bronx,026/77,President,NYC,Absentee / Military,,11
Bronx,026/77,President,NYC,Federal,,0
Bronx,026/77,President,NYC,Special Presidential,,0
Bronx,026/77,President,NYC,Affidavit,,13
Bronx,026/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,206
Bronx,026/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,12
Bronx,026/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,026/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Bronx,026/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Bronx,026/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,026/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,026/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,027/77,President,NYC,Manually Counted Emergency,,0
