county,precinct,office,district,candidate,party,votes
Kings,024/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,47
Kings,024/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,33
Kings,024/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,024/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,024/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Kings,024/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,024/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,024/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,025/41,President,NYC,Manually Counted Emergency,,0
Kings,025/41,President,NYC,Absentee / Military,,5
Kings,025/41,President,NYC,Federal,,0
Kings,025/41,President,NYC,Special Presidential,,0
Kings,025/41,President,NYC,Affidavit,,7
Kings,025/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,91
Kings,025/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,15
Kings,025/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,025/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Kings,025/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Kings,025/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,025/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,025/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,026/41,President,NYC,Manually Counted Emergency,,0
Kings,026/41,President,NYC,Absentee / Military,,2
Kings,026/41,President,NYC,Federal,,0
Kings,026/41,President,NYC,Special Presidential,,0
Kings,026/41,President,NYC,Affidavit,,2
Kings,026/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,62
Kings,026/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,6
Kings,026/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,026/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,026/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Kings,026/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,026/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,026/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,027/41,President,NYC,Manually Counted Emergency,,0
Kings,027/41,President,NYC,Absentee / Military,,8
Kings,027/41,President,NYC,Federal,,2
Kings,027/41,President,NYC,Special Presidential,,0
Kings,027/41,President,NYC,Affidavit,,9
Kings,027/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,239
Kings,027/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,47
Kings,027/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Kings,027/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,027/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
Kings,027/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,027/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,027/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,027/41,President,NYC,Scattered,,2
Kings,028/41,President,NYC,Manually Counted Emergency,,0
Kings,028/41,President,NYC,Absentee / Military,,15
Kings,028/41,President,NYC,Federal,,2
Kings,028/41,President,NYC,Special Presidential,,0
Kings,028/41,President,NYC,Affidavit,,15
Kings,028/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,527
Kings,028/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,84
Kings,028/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,14
Kings,028/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,13
Kings,028/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Kings,028/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,028/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,028/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,028/41,President,NYC,Scattered,,3
Kings,029/41,President,NYC,Manually Counted Emergency,,0
Kings,029/41,President,NYC,Absentee / Military,,0
Kings,029/41,President,NYC,Federal,,0
Kings,029/41,President,NYC,Special Presidential,,0
Kings,029/41,President,NYC,Affidavit,,0
Kings,029/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,45
Kings,029/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,1
Kings,029/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,029/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,029/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Kings,029/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,029/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,029/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,030/41,President,NYC,Manually Counted Emergency,,0
Kings,030/41,President,NYC,Absentee / Military,,12
Kings,030/41,President,NYC,Federal,,2
Kings,030/41,President,NYC,Special Presidential,,0
Kings,030/41,President,NYC,Affidavit,,6
Kings,030/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,503
Kings,030/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,21
Kings,030/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,030/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Kings,030/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,030/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
